
ZIPCODE           Mean Score     Number of Restaurants

10001.0         9.14669421488           509
10002.0         11.8686635945           474
10003.0         11.6703821656           675
10004.0         10.3821138211           142
10007.0         10.6916666667           139
10009.0         11.5909090909           312
10010.0          11.327510917           246
10011.0         11.4953271028           463
10012.0         11.5602094241           402
10013.0         12.0385487528           480
10014.0         11.7023498695           408
10016.0         11.7335025381           414
10017.0         11.3661971831           376
10018.0         11.7275541796           333
10019.0         10.6301587302           660
10021.0         12.5416666667           152
10022.0         10.9421841542           488
10023.0         10.7322404372           197
10024.0                  11.3           202
10025.0         11.7909090909           237
10027.0         11.3246753247           163
10028.0                 11.66           214
10029.0         12.0215053763           197
10032.0         12.7522123894           117
10033.0          12.972972973           120
10034.0         12.6559139785           106
10036.0         11.0857142857           593
10038.0         11.6623376623           168
10065.0               10.7875           173
10128.0         12.6490066225           159
10301.0         10.7741935484           103
10306.0         10.4038461538           111
10314.0         12.1461988304           185
10451.0         9.07236842105           157
10452.0         9.92222222222           101
10458.0         11.0218579235           196
10461.0         10.6805555556           154
10462.0         10.5379310345           148
10463.0         11.1219512195           128
10467.0         11.3612903226           169
10468.0         10.9896907216           107
10472.0         10.1153846154           108
11101.0          11.069124424           250
11103.0                  11.4           209
11104.0         13.5673076923           114
11105.0          10.747826087           123
11106.0         11.3333333333           156
11201.0         10.5514018692           345
11203.0         11.8682170543           141
11204.0         11.1965811966           123
11205.0         12.0571428571           145
11206.0         11.3777777778           154
11207.0         10.8181818182           136
11208.0          12.027027027           116
11209.0         10.6208333333           264
11211.0         12.3204747774           365
11214.0         12.1904761905           180
11215.0         11.2853025937           372
11216.0         12.4025974026           166
11217.0         10.2970711297           254
11218.0         10.8345864662           147
11219.0         11.8775510204           105
11220.0         13.1815068493           317
11221.0          11.603960396           111
11222.0         10.9602272727           193
11223.0         12.0946745562           185
11225.0                  10.8           101
11226.0         11.6205128205           201
11229.0         12.5882352941           142
11230.0         11.6632653061           102
11231.0         10.5931034483           159
11232.0         10.6831683168           106
11234.0         10.1276595745           152
11235.0         13.3374233129           176
11236.0         9.86538461538           111
11237.0         10.5847953216           179
11238.0         11.1990521327           246
11249.0         12.3382352941           155
11354.0         12.9399399399           361
11355.0         14.0597826087           197
11358.0         11.7076923077           143
11361.0         11.2293577982           119
11368.0         10.4601449275           290
11369.0         10.5360824742           104
11372.0         12.8417508418           319
11373.0         11.4837209302           225
11375.0         11.7567567568           196
11377.0         13.0049751244           214
11385.0         11.2669491525           252
11430.0                   9.5           148
11432.0                  11.4           188
11435.0         11.0495049505           106
